249,Medon Berisha,al ALB,MF,Lecce,it Serie A,22-076,2003,13,12,871,9.7,2,3,5,2,0,0,0,0,1.2,1.2,2.6,3.8,19,46,21,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.39,0.13,0.39,Matches
250,Anthony Bermont,fr FRA,"DF,MF",Lens,fr Ligue 1,20-329,2005,5,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,9,7,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
251,Adrian Bernabe,es ESP,MF,Parma,it Serie A,24-224,2001,17,17,"1,363",15.1,2,0,2,2,0,0,0,0,1.7,1.7,1.9,3.6,33,90,39,0.13,0,0.13,0.13,0.13,0.11,0.13,0.24,0.11,0.24,Matches
252,Marc Bernal,es ESP,MF,Barcelona,es La Liga,18-224,2007,7,1,127,1.4,0,1,1,0,0,0,1,0,0,0,0.6,0.6,1,7,3,0,0.71,0.71,0,0.71,0.01,0.41,0.43,0.01,0.43,Matches
253,Federico Bernardeschi,it ITA,"FW,MF",Bologna,it Serie A,31-323,1994,14,3,423,4.7,1,0,1,1,0,0,2,0,0.8,0.8,1.5,2.3,18,29,41,0.21,0,0.21,0.21,0.21,0.17,0.32,0.5,0.17,0.5,Matches
254,Bernardo,br BRA,DF,Hoffenheim,de Bundesliga,30-236,1995,14,14,"1,231",13.7,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.5,16,83,21,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
255,Lorenzo Bernasconi,it ITA,DF,Atalanta,it Serie A,22-050,2003,8,6,505,5.6,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.2,14,22,32,0,0,0,0,0,0.04,0.17,0.21,0.04,0.21,Matches
256,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,26-224,1999,17,15,"1,257",14,1,1,2,1,0,0,1,0,0.6,0.6,0.7,1.3,24,52,37,0.07,0.07,0.14,0.07,0.14,0.04,0.05,0.09,0.04,0.09,Matches
257,Nicolò Bertola,it ITA,DF,Udinese,it Serie A,22-288,2003,14,12,"1,026",11.4,0,1,1,0,0,0,2,0,0.5,0.5,0.2,0.7,8,24,18,0,0.09,0.09,0,0.09,0.05,0.02,0.07,0.05,0.07,Matches
258,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,de Bundesliga,27-001,1999,10,10,823,9.1,0,1,1,0,0,0,2,0,1.5,1.5,1.7,3.2,14,17,66,0,0.11,0.11,0,0.11,0.17,0.18,0.35,0.17,0.35,Matches
259,Beto,gw GNB,FW,Everton,eng Premier League,27-339,1998,20,8,831,9.2,2,0,2,2,0,0,1,0,4.7,4.7,0.4,5.1,5,2,32,0.22,0,0.22,0.22,0.22,0.51,0.04,0.55,0.51,0.55,Matches
260,Sam Beukema,nl NED,DF,Napoli,it Serie A,27-049,1998,9,8,691,7.7,1,0,1,1,0,0,2,0,1.1,1.1,0,1.1,4,39,5,0.13,0,0.13,0.13,0.13,0.14,0.01,0.14,0.14,0.14,Matches
261,Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,32-294,1993,15,14,"1,214",13.5,0,2,2,0,0,0,2,0,0.3,0.3,0.6,1,1,36,7,0,0.15,0.15,0,0.15,0.02,0.05,0.07,0.02,0.07,Matches
262,Mika Biereth,dk DEN,"FW,MF",Monaco,fr Ligue 1,22-331,2003,16,11,822,9.1,2,0,2,2,0,0,0,0,3.2,3.2,0.7,3.8,4,11,61,0.22,0,0.22,0.22,0.22,0.35,0.07,0.42,0.35,0.42,Matches
263,Pedro Bigas,es ESP,DF,Elche,es La Liga,35-112,1990,14,14,"1,157",12.9,0,2,2,0,0,0,2,0,0.5,0.5,0.8,1.4,15,65,12,0,0.16,0.16,0,0.16,0.04,0.07,0.11,0.04,0.11,Matches
264,Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,26-334,1999,11,10,892,9.9,1,1,2,1,0,0,1,0,0.4,0.4,0.5,1,6,20,1,0.1,0.1,0.2,0.1,0.2,0.04,0.06,0.1,0.04,0.1,Matches
265,Cristiano Biraghi,it ITA,"DF,MF",Torino,it Serie A,33-126,1992,10,5,463,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,7,23,20,0,0,0,0,0,0.01,0.1,0.11,0.01,0.11,Matches
266,Tom Bischof,de GER,"DF,MF",Bayern Munich,de Bundesliga,20-191,2005,12,7,599,6.7,0,3,3,0,0,0,2,0,0.8,0.8,1.3,2.1,14,47,42,0,0.45,0.45,0,0.45,0.12,0.2,0.32,0.12,0.32,Matches
267,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,32-017,1993,8,1,198,2.2,0,0,0,0,0,0,1,0,0,0,0.2,0.2,2,13,4,0,0,0,0,0,0.01,0.09,0.11,0.01,0.11,Matches
268,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,20-242,2005,3,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
269,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34-301,1991,4,4,360,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
270,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25-166,2000,16,16,"1,385",15.4,0,1,1,0,0,0,5,0,0.5,0.5,0.6,1.1,10,90,11,0,0.06,0.06,0,0.06,0.03,0.04,0.07,0.03,0.07,Matches
271,Ludovic Blas,fr FRA,"MF,DF",Rennes,fr Ligue 1,28-005,1997,15,7,702,7.8,3,1,4,1,2,2,0,0,3.3,1.7,2.2,3.9,25,47,60,0.38,0.13,0.51,0.13,0.26,0.42,0.28,0.7,0.22,0.5,Matches
272,Daley Blind,nl NED,DF,Girona,es La Liga,35-302,1990,16,15,"1,312",14.6,0,0,0,0,0,0,1,0,0,0,0.8,0.8,13,73,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
273,Adam Boayar,ma MAR,"FW,MF",Elche,es La Liga,20-084,2005,3,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,Matches
274,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22-177,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,17,18,55,0,0.19,0.19,0,0.19,0.08,0.13,0.21,0.08,0.21,Matches
275,Ben Bobzien,de GER,FW,Mainz 05,de Bundesliga,22-251,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,Matches
276,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27-300,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25-114,2000,9,5,463,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,6,22,30,0,0,0,0,0,0.05,0.03,0.09,0.05,0.09,Matches
278,Jeremie Boga,ci CIV,"FW,MF",Nice,fr Ligue 1,29-002,1997,14,7,646,7.2,2,2,4,2,0,0,0,0,1.6,1.6,1,2.7,25,19,33,0.28,0.28,0.56,0.28,0.56,0.23,0.15,0.37,0.23,0.37,Matches
